Auto Aligned,Binding Type,Initial Aligned Version,Aligned Note,Manual Inspection Notes,Binding?,Related?,Official?,Main package?,ID,Host Repo IDs,Type,Platform,Name,Repository URL,First Version Date,Versions Count,Binding Host,Description,Repository Name with Owner,Repository Description,Keywords,Licenses,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host Normalized,Binding Host Normalized - No Space
Y,,,"more releases, what a mess before 3.10.4.5","readme (https://github.com/h2oai/h2o-3?tab=readme-ov-file) says: ""Note: Stable H2O-3 artifacts are periodically published to Maven Central (click here to search) but may substantially lag behind H2O-3 Bleeding Edge nightly builds.""",TRUE,TRUE,TRUE,TRUE,334746,527263,Linked Binding,Pypi,h2o,https://github.com/h2oai/h2o-3,2015-01-29 8:02:41,96,,"H2O, Fast Scalable Machine Learning, for python",h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.","machine learning,data mining,statistical analysis,modeling,big data,distributed,parallel",Apache-2.0,0,,59,527263,GitHub,FALSE,4513,Apache-2.0,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",,
Y,,,selected 29 out of 106 releases,,TRUE,TRUE,TRUE,,687710,527263,Linked Binding,CRAN,h2o,https://github.com/h2oai/h2o-3,2014-06-17 23:04:00,29,,R Interface for 'H2O',h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",,Apache-2.0,12,,62,527263,GitHub,FALSE,4513,Apache-2.0,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",,
Y,,,Scala API,,TRUE,TRUE,TRUE,,2301217,527263,Linked Binding,Maven,ai.h2o:h2o-bindings,https://github.com/h2oai/h2o-dev,2016-07-02 2:56:42,90,,H2O REST API bindings,h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",,Apache-2.0,0,,2,527263,GitHub,FALSE,4513,Apache-2.0,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",,
Y,,,"lost record after 3.22.1.5, https://mvnrepository.com/artifact/ai.h2o/h2o-bindings",,TRUE,TRUE,TRUE,,2417372,527263,Linked Binding,Maven,ai.h2o:h2o-scala_2.11,https://github.com/h2oai/h2o-dev,2016-08-04 4:59:47,83,,H2O Scala API (Scala version 2.11.7),h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",,Apache-2.0,2,,3,527263,GitHub,FALSE,4513,Apache-2.0,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",,
Y,,,"0.9.6 released earlier than GitHub, https://github.com/apache/predictionio/",,TRUE,FALSE,FALSE,,65985,573443,Binding,Pypi,PredictionIO,,2013-03-21 15:04:27,15,PredictionIO,PredictionIO Python SDK,,,,Other,0,,15,,,,,,,,predictionio,predictionio
Y,,,,,TRUE,TRUE,TRUE,,103324,573443,Binding,Packagist,predictionio/predictionio,https://github.com/apache/predictionio-sdk-php,2013-03-25 8:59:05,14,PredictionIO,Apache PredictionIO API PHP Client,apache/predictionio-sdk-php,PredictionIO PHP SDK,"rest,web service,restful,recommendation,predictionio,prediction",Apache-2.0,7,,29,72178,GitHub,FALSE,260,Apache-2.0,,,predictionio,predictionio
N,,,"7, alignment not found https://github.com/ShaunBaker/PredictionIO-Node-SDK",,TRUE,FALSE,FALSE,,182240,573443,Binding,NPM,predictionio,https://github.com/ShaunBaker/PredictionIO-Node-SDK,2013-11-05 9:17:40,7,PredictionIO,PredictionIO Node SDK,ShaunBaker/PredictionIO-Node-SDK,PredictionIO Node SDK,,BSD-2-Clause,1,,1,122722,GitHub,FALSE,63,,,,predictionio,predictionio
Y,,,0.9.6 released earlier than GitHub,,TRUE,FALSE,TRUE,,235923,573443,Binding,Rubygems,predictionio,https://github.com/apache/incubator-predictionio-sdk-ruby,2013-03-25 7:52:48,14,PredictionIO,PredictionIO is an open source machine learning server for developers and data scientists to create predictive engines for production environments. This gem provides convenient access to the PredictionIO API for Ruby programmers so that you can focus on application logic.,apache/predictionio-sdk-ruby,PredictionIO Ruby SDK,,Apache-2.0,1,,22,44252,GitHub,FALSE,191,Apache-2.0,,,predictionio,predictionio
Y,,,,,TRUE,FALSE,TRUE,,407539,573443,Binding,Maven,io.prediction:sdk,https://github.com/PredictionIO/PredictionIO-Java-SDK,2013-04-01 15:50:40,12,PredictionIO,The PredictionIO Java SDK includes an API client and sample code.,apache/predictionio-sdk-java,PredictionIO Java SDK,,Apache-2.0,0,,0,169704,GitHub,FALSE,102,Apache-2.0,,,predictionio,predictionio
N,,,"2, alignment not found https://github.com/timgluz/shaman",,TRUE,FALSE,FALSE,,721363,573443,Binding,Clojars,shaman,https://github.com/timgluz/shaman,2015-10-05 8:48:03,2,predictionIO,clojure client for predictionIO API,timgluz/shaman,clojure client for Prediction.IO,,EPL-1.0,0,,1,356965,GitHub,FALSE,1,EPL-1.0,,,predictionio,predictionio
